Код товару,Заголовок,Бренд,Артикул постач.,Колір,"Закупка, грн",тип,,Ціна,фото,Кіл-ть,Розміри в інтернет-магазині,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т158,"Трусики стринги, два цвета. Код: Т158",Coeur Joie,2288,"черн,моло",68,,,180,,13,м.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т159,Мужские трусы плавки 46-50,SweetDrean,B109,"голубой, черный, синий",19,,,50,,13,гол XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т160,"Трусики стринги, три цвета, S, M, L, XL. Код: Т160",Annajolly,60591,"бел,моло,кофей","81,2",,,180,,15,б.M,б.L,м.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т163,"Трусики стринги, два цвета. Код: Т163",Coeur Joie,2301,"черн,моло","78,5",,,180,,14,м.L,м.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т164,"Трусики американки на регуляторах, два цвета. Код: Т164",Qnita de Mas,К7,"черн,бел",62,,,150,,14,б.M,б.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т168,"Трусики стринги с кружевом XL, разные цвета. Код: Т168",Nicoletta,63167,"чёрный, белый, бежевый","27,8",,,60,,13,беж.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т170,Мужские плавки INDENA. Код: Т170,INDENA,20343,белый,26,,,140,,17,2XL,2XL,2XL,2XL,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т171,Подростковые плавки INDENA. Код: Т171,INDENA,40500,"серый, черный",35,,,65,,22,7-9,9-11,9-11,9-11,9-11,9-11,9-11,11-13,11-13,11-13,,,,,,,,,,,,,,,,,,,,,,,,,,
Т172,Мальчуковые плавки IN.INCONT. Код: Т172,IN.INCONT,2020,"серый, черный, синий",23,,,60,,23,XS,XS,XS,XS,XS,XS,S,S,S,S,S,,,,,,,,,,,,,,,,,,,,,,,,,
Т179,"Бесшовные трусики слипы, S, M, L. Код: Т179",OUNO,9485,"бел,чер,беж,роз","39,8",,,100,,14,роз.M,роз.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т180,"Бесшовные трусики американки, M, L, XL. Код: Т180",OUNO,9486,"бел,чер,беж,роз","39,8",,,100,,14,бел.XL,чер.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т181,Хлопковые трусики на детей 2-3 лет. Код: Т181,Toli,40091,белый,"14,4",,,35,,19,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т222,"Кружевные женские трусики, 44, 46, 48. Код: Т222",Weiyesi,6025,"чер-беж,бел","36,23",,,120,,20,ч-б.L,ч-б.XL,б.M,б.M,б.L,б.L,б.XL,б.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т223,"Черные боксёры Calvin Klein яркая резинка, L, XL, 2XL, 3XL. Код: Т223",Calvin Klein,Хлопок,разные,"111,5",,,230,,13,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т223,Черные боксёры Calvin Klein 3XL. Код: Т223,Calvin Klein,Хлопок,разные,"97,44",,,230,,14,3XL,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т237,Бесшовные трусики джинсовый принт. Код: Т:237,Алиэкспресс,,разные,"31,5",,,85,,13,крас,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т238,"Неоновые трусики-американки с гипюром, р.L. Код: Т238",Nicoletta,63163-1,разные,31,,,65,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т253,"Женские стринги Calvin Klein, L с красной резинкой. Код: Т253",Cаlvin Klein,,разные,47,,,160,,18,т-син,роз,роз,роз,роз,роз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т263,"Трусики Coeur Joie, три цвета. Код: Т263",Coeur Joie,2207,"мол,беж,слив","69,3",,,160,,13,м.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т264,Черные трусики бикини Coeur Joie. Код: Т264,Coeur Joie,2126,"черн,бел",68,,,180,,15,ч.M,ч.M,б.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т270,"Трусики стринги ""Огородик"". Код: Т270",KuSeYouHuo,033т,разные,10,,,38,,13,жел,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т271,Бесшовные стринги с проклеенными швами на тонких резинках. Код: Т271,,РД241_чорний,черный,"53,33",,,120,,13,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т272,"Бесшовные трусики-бразильяны, кофейные. Код: Т272",LuLoLa,9916,кофейный,"37,53",,,120,,14,L,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т273,Бесшовные бразильяны с V-образным вырезом. Код: Т273,Finetoo,028,молоч (беж),"47,4",,,120,,24,S,S,S,M,M,M,L,L,L,XL,XL,XL,,,,,,,,,,,,,,,,,,,,,,,,
Т280s,"Спортивные стринги 42-44, 46-48. Код: Т280s",Cottonhill,0622,разные,"26,5",,,75,,14,XL,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т281,"Хлопковые трусики бразильяны, S-M, L-XL. Код: Т281",Ouno,Т127,разные,38,,,95,,14,роз.S-M,кр.S-M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т282,"Бежевые трусики бразильяны, M, L, XL. Код: Т282",Diailu,515,бежевый,"49,4",,,120,,13,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т283,"Детские трусики ""Покемоны"". Код: Т283",,1042 XL,разные,15,,,30,,15,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т285,"Детские трусики-шорты ""Белоснежка"". Код: Т285",,0652,разные,13,,,30,,16,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т286,"Трусики-шортики ""Даша"". Код: Т286",,0650,разные,13,,,30,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т289,Трусики коттоновые с кружевом сверху. Код: Т289,HANA,580,разные,"25,5",,,65,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т290,"Бесшовные трусики стринги, L, XL, 2XL. Код: Т290",Anttifu,664,"пудр,розов,красн,черн,беж,сирень,зелен",48,,,120,,15,пуд.2XL,роз.XL,зел.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т291,"Хлопковые трусики, 2XL, 3XL, 4XL (50, 52, 54). Код: Т291",Anttifu,9463,"бел,беж,сирен,чер,сер,бор,зел,син",54,,,120,,13,сир.3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т292,"Коттоновые трусики стринги, S, M, L. Код: Т292",Dyana,6267,"пудр,борд","34,2",,,120,,23,пуд.S,пуд.S,пуд.S,пуд.S,пуд.M,пуд.M,пуд.L,бор.S,бор.S,бор.S,бор.L,,,,,,,,,,,,,,,,,,,,,,,,,
Т292,"Коттоновые трусики стринги, S, M, L. Код: Т292",Dyana,6267,"бел, черн","34,2",,,120,,13,бел.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т303,Молодежные трусики. Код: Т303,Афина,040,"черн, бел","59,4",,,120,,13,б.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т304,"Трусики стринги с высокой талией, M. Код: Т304",Cottonhill,597,разные,"35,45",,,100,,15,красн,красн,красн,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т305,"Черные трусики из хлопка, M, L, XL, 2XL. Код: Т305",FINETOO,C001,черный,"33,2",,,95,,16,M,M,XL,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т309,"Трусики эротические, M. Код: Т309",Cottonhill,#0501,"черн, красн","35,25",,,85,,13,крас,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т310,"Трусики Anttifu, все расцветки. Код: Т310",Anttifu,8856,разные,"40,1",,,130,,15,бор.XL,бор.2XL,бор.3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т327,"Трусики-шорты кружевные х/б, 48-50. Код: Т327",,G917,разные,25,,,80,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т330,"Трусики х/б бразильяна, L. Код: Т330",Cottonhill,336,разные,"25,75",,,85,,13,син,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т333,"Трусики бикини, три цвета. Код: Т333",Coeur Joie,9827,"кра,шам,чер","63,5",,,160,,14,кра.XL,ш.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т334,"Хлопковые трусики стринги с кружевом, р.46, 48, 50. Код: Т334",La Volle,5108,разные,21,,,85,,16,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т341,Трусики. Код: Т341,Китай,#6811,разные,41,,,95,,22,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Т353,Трусики утягивающая сетка. Код: Т353,Афина,026,"беж, бел","75,9",,,170,,13,беж.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т358,"Трусики бразильяны, р. М. Код: Т358","Cottonhill, ERANDDO","300160, 300-179",разные,"22,8",,,85,,15,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т363,Трусики. Код: Т363,La Volle,7702,разные,24,,,85,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т365,"Три цвета, трусики стринги, S, M, L, XL. Код: Т365",Coeur Joie,1911,"бел,слива",70,,,160,,14,б.M,с.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т366,"Трусики бикини черные, S, M, L. Код: Т366",Coeur Joie,2027,черный,52,,,140,,13,ч.S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т367,"Кружевные трусики бразильяны, M. Код: Т367",Cottonhill,4376,разные,28,,,85,,13,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т369,"Бесшовные трусики бразильяны, M. Код: Т369",Cottonhill,0339,разные,26,,,100,,18,бел,чер,чер,M,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т370,"Черные трусики танга кружевная попа, M, L. Код: Т370",Cottonhill,4902,черный,29,,,85,,15,ч.М,ч.М,ч.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т376,"Cтринги с камушком, два цвета, M, L, XL. Код: Т376",Coeur Joie,1898,"черн, крас","69,2",,,160,,15,ч.L,к.S,к.М,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т381,"Трусики хлопок, 3XL, 4XL, 5XL. Код: Т381",La Volle,919,разные,38,,,90,,16,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т382,"Трусики хлопок, 2XL, 3XL, 4XL. Код: Т382",La Volle,336,разные,39,,,90,,15,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т383,"Трусики, S, M, L. Код: Т383",La Volle,6703,разные,28,,,80,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т385,"Кружевные стринги, три цвета, S, M, L. Код: Т385",Coeur Joie,1909,"крас,зел,бел","54,5",,,140,,16,к.L,б.S,б.M,б.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т386,"Трусики бикини,р. 44-48. Код: Т386",Coeur Joie,1902,"кра,бел,чер, пудра","74,34",,,180,,21,к.S,бел.L,бел.XL,пуд.S,пуд.М,пуд.М,пуд.L,пуд.L,пуд.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т387,"Трусики бикини, р. 44-48. Код: Т387",Coeur Joie,1889,"чер,молоч,бор,крас,белый, шампань","72,24",,,180,,24,ч.S,ч.L,бор.M,бор.L,кр.XL,бел.L,бел.XL,шам.M,шам.M,шам.L,шам.L,шам.XL,,,,,,,,,,,,,,,,,,,,,,,,
Т390,"Трусики слипы хлопок, XL, 2XL, 3XL. Код: Т390",Anttifu,7680,разные,30,,,80,,15,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т391,"Реплика стринги Calvin Klein хлопок: S, M. Код: Т391",Calvin Klein,660,черные,"60,36",,,170,,13,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т394,"Трусики бикини два цвета, S, M, L. Код: Т394",Coeur Joie,2003,крас,"60,5",,,160,,13,к.М,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т395,Сексуальные трусики бразильяны. Код: Т395,Coeur Joie,2019,"красн,бордо","55,6",,,140,,14,б.L,б.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т397,Коттоновые трусики слипы. Код: Т397,Beisdanna,202,разные,18,,,50,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т398,"Трусики, р.54, 56, 58 (2XL, 3XL, 4XL). Код: Т398",Anttifu,А648,разные,"70,67",,,160,,19,кр.3XL,кр.4XL,син.4XL,ш.3XL,ш.4XL,беж.4XL,роз.4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т399,"Трусики, р. 52, 54, 56 (4XL, 5XL, 6XL). Код: Т399",Anttifu,3056,разные,"59,21",,,160,,27,ч.5XL,ч.5XL,ч.6XL,з.4XL,з.5XL,з.6XL,син.4XL,син.5XL,син.6XL,беж.4XL,сер.4XL,сер.5XL,бор.4XL,бор.4XL,сир.4XL,,,,,,,,,,,,,,,,,,,,,
Т401,"Трусики, р. 44, 46, 48 (L, XL, 2XL). Код: Т401",Anttifu,5168,разные,"42,78",,,120,,20,син.L,кр.XL,бор.L,мят.L,мят.XL,роз.L,сир.L,сир.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т402,"Трусики, р.L, XL, 2XL. Код: Т402",Anttifu,6352,разные,"38,2",,,120,,17,ч.L,роз.XL,бел.L,сир.L,сир.2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т403,"Молочные трусики бикини, S, M, L, XL. Код: Т403",Coeur Joie,2262,молочный,"79,1",,,180,,16,м.M,м.L,м.L,м.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т404,Трусики бикини Annajolly цвета шампань. Код: Т404,Annajolly,60136,молочный,"71,9",,,180,,13,м.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т405,"Трусики бикини Annajolly, три цвета. Код: Т405",Annajolly,73046,"крас,мол,пудра",77,,,180,,13,п.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т406,Белые трусики бикини Annajolly. Код: Т406,Annajolly,60561,белый,"81,2",,,180,,16,б.M,б.L,б.XL,б.2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т407,Красные трусики бикини Annajolly. Код: Т407,Annajolly,60811,красный,77,,,180,,15,к.M,к.M,к.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т408,Трусики бикини Annajolly черного цвета. Код: Т408,Annajolly,73160,черный,"81,6",,,180,,14,ч.M,ч.2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т409,"Трусики бикини 3XL, 4XL, 5XL, разные цвета. Код: Т409",Nadizi,9186,разные,76,,,180,,14,4XL,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т410,"Трусики бикини 46, 48, 50, разные цвета. Код: Т410",Nadizi,9081,разные,64,,,180,,13,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т411,"Трусики бикини S-M, L-XL, разные цвета. Код: Т411",Finella,80044,разные,49,,,130,,13,L-XL фио,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т412,"Трусики микрофибра M, L, XL, разные цвета. Код: Т412",Finella,80238,разные,45,,,120,,17,M,M,M,M,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т413,"Трусики хлопок M, L, XL, разные цвета. Код: Т413",Ouno,9144,разные,36,,,120,,14,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т414,"Черные трусики микрофибра, р. M. Код: Т414",Cottonhill,6174,черный,64,,,150,,13,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т415,"Трусики хлопок два цвета, р. M. Код: Т415",Cottonhill,6107,"молоч,черн",53,,,120,,16,м.M,м.M,м.M,ч.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т416,Мужские трусы Calvin Klein резинка люрекс 3XL. Код: Т416,Calvin Klein,9011,разные,"106,59",,,220,,13,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т417,Мужские трусы Calvin Klein черная резинка 2XL. Код: Т417,Calvin Klein,9047,разные,"104,5",,,220,,27,2XL,2XL,2XL,2XL,2XL,2XL,2XL,2XL,3XL,3XL,3XL,3XL,3XL,3XL,3XL,,,,,,,,,,,,,,,,,,,,,
Т418,Мужские трусы Tommy Hilfiger 3XL. Код: Т418,Tommy Hilfiger,9051,разные,"106,59",,,220,,13,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т419,"Мужские трусы Kenzo L, XL, 2XL. Код: Т419",Kenzo,7008,разные,"114,11",,,220,,18,L,L,L,L,XL,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т421,"Кружевные трусики, M, L, XL. Код: Т421",VORONIN (Китай),Q8353,"чер,мол,беж,крас","48,3",,,120,,13,беж.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т422,"Трусики из хлопка, S/M, L/XL. Код: Т422",Beisdanna,1816а,"чер,бел,беж,роз","44,1",,,100,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т423,"Трусики в широкий рубчик, S, M, L. Код: Т423",Agremaila,4047,разные,"25,5",,,70,,14,M,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т425,"Леопардовые стринги 2-х расцветок, L, XL . Код: Т425",Китай,8897с,леопард,"56,7",,,120,,17,с-л.L,с-л.L,с-л.L,с-л.XL,т-л.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т426,"Мужские трусы семейные, L, XL, 2XL. Код: Т426",UOKIN,7651,разные,"57,82",,,120,,27,L,L,XL,XL,2XL,2XL,2XL,2XL,2XL,2XL,2XL,2XL,2XL,2XL,2XL,,,,,,,,,,,,,,,,,,,,,
Т427,Черные стринги в сетку. Код: Т427,Китай,889а,черные,"52,5",,,150,,20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т428,"Стринги 2XL, 3XL, 4XL. Код: Т428",Jeanfeny,803,разные,"52,5",,,180,,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
Т429,"Трусики с высокой посадкой 3XL, 4XL. Код: Т429",LAVOLLE,3932а,разные,"52,5",,,150,,21,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т430,"Трусики стринги 2XL, 3XL, 4XL. Код: Т430",LAVOLLE,8013а,разные,"56,7",,,150,,18,мол,мол,мол,пуд,пуд,чер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т431,"Красные трусики с открытым доступом, р.46-48. Код: Т431",Vanilya Secret,1000,красн,"98,7",,,210,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т432,"Полупрозрачные стринги, р.42-46. Код: Т432",Jeanfeny,035а,разные,"58,8",,,150,,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т433,"Трусики с доступом, черные и красные, S-M. Код: Т433",LEILA LINGRERIE,1421,"черн,красн","67,2",,,200,,16,чер,чер,кра,кра,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т434,"Красные стринги, M, L, XL, 2XL. Код: Т434",Annajolly,247,красн,"65,94",,,180,,16,L,L,XL,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т435,"Трусики бикини с бантиком, два цвета. Код: Т435",Coeur Joie,1927,"черн,крас","82,94",,,180,,31,кр.M,ч.S,ч.S,ч.S,ч.M,ч.M,ч.M,ч.L,ч.XL,ч.XL,ч.M,ч.M,ч.L,ч.L,ч.XL,ч.M,ч.M,ч.L,ч.XL,,,,,,,,,,,,,,,,,
Т436,"Белые трусики бикини, S, M, L, XL. Код: Т436",Coeur Joie,2372,белый,"80,78",,,180,,16,б.S,б.M,б.M,б.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т437,"Х/б боксерки удлиненные, S, M, L, XL, 2XL. Код: Т437",Finetoo,Т802,черный,"82,7",,,180,,17,ч.S,ч.M,ч.L,ч.XL,ч.2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т438,"Мужские черные х/б боксерки, S, M, L, XL. Код: Т438",Finetoo,Т801,черный,"76,1",,,160,,16,ч.S,ч.M,ч.XL,ч.2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т439,"Х/б боксерки однотонные, 4XL, 5XL. Код: Т439",Китай,8866,разные,"69,6",,,150,,24,4XL,4XL,4XL,4XL,4XL,4XL,5XL,5XL,5XL,5XL,5XL,5XL,,,,,,,,,,,,,,,,,,,,,,,,
Т440,"Х/б боксеры в полоску, 6XL. Код: Т440",China,8065,разные,"67,4",,,150,,17,6XL,6XL,6XL,6XL,6XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т441,"Мужские трусы боксеры со светлой резинкой, 4XL. Код: Т441",SKXE,9082,разные,"67,4",,,150,,16,4XL,4XL,4XL,4XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т442,Трусики бразильяны в 3-х расцветках. Код: Т442,Coeur Joie,2398,"красный, черный, леопард, белый, бежевый, бел-беж",100,,,195,,48,кр.M,кр.M,кр.L,кр.L,кр.XL,кр.XL,ч.S,ч.M,ч.M,ч.L,ч.L,ч.XL,лео.S,лео.M,лео.M,лео.L,лео.L,лео.XL,бел.S,бел.M,бел.M,бел.L,бел.L,бел.XL,беж.S,беж.M,беж.M,беж.L,беж.L,беж.XL,б-б.S,б-б.M,б-б.M,б-б.L,б-б.L,б-б.XL
Т443,Трусики бразильяны в 2-х расцветках. Код: Т443,Coeur Joie,2308,"красный, черный",91,,,190,,18,кр.M,кр.L,кр.XL,ч.S,ч.M,ч.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т444,"Трусики стринги S-M, L-XL в разных расцветках. Код: Т444",Loves Vittorio,20425,"бордо, зел,черн,бел,сер,бирюз",43,,,120,,24,бор.S-M,бор.L-XL,з.S-M,з.L-XL,ч.S-M,ч.L-XL,бел.S-M,бел.L-XL,сер.S-M,сер.L-XL,бир.S-M,бир.L-XL,,,,,,,,,,,,,,,,,,,,,,,,
Т445,Трусики бразильяны в 2-х расцветках. Код: Т445,Coeur Joie,2167,"красный, черный",99,,,190,,19,к.S,к.L,ч.S,ч.M,ч.L,ч.L,ч.XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Т446,Трусики слипы в 2-х расцветках. Код: Т446,Coeur Joie,2399,"капучино, белый","90,27",,,195,,24,ка.M,ка.M,ка.L,ка.L,ка.XL,ка.XL,б.M,б.M,б.L,б.L,б.XL,б.XL,,,,,,,,,,,,,,,,,,,,,,,,
YT1,"Комплект Your Touch ""Madonna"" в чашці 80В, трусики-хіпстери M. Код: YT1",Your Touch,#MD-6000,чорно-синій,326,,,850,,1,80В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А95,Модный комплект с пуш-ап чашкой B80. Код: А95,,,бірюзовый,230,,,300,,1,80B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С8,"Комплект без косточки чашка В, три цвета. Код: С8",Weiyesi,#6036,зелений,"221,81",,,550,,1,85В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С11,Литой комплект Victoria's Secret в чашках В и С. Код: С11,Люся,#8127-1,бузковий,245,,,799,,1,75С,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С17,Черный ажурный комплект в чашке D. Код: С17,Weiyesi,#7244,чорний,"235,2",,,680,,2,95D,100D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С24,"Комплект с пуш-апом, чашка С. Код: С24",RUMU,#К8270,малиновий,78,,,260,,2,75C,80C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С30,"Комплект белья Weiyesi, чашка B. Код: С30",Weiyesi,#9414В,малиновий мікс,60,,,200,,2,80B,85B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С43,"Черный сексуальный комплект, размеры S, L. Код: С43",,#510,чорний,355,,,699,,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С48,Синий комплект чашка С. Код: С48,Weiyesi,#2118,синій,200,,,580,,1,75С,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С50,Синий комплект Calvin Klein черная резинка. Код: С50,Calvin Klein,#660,синій,210,,,620,,3,M,L,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С55,Комплект реплика Victoria's Secret. Код: С55,Victoria's Secret,#8030,"капучіно, червоний",361,,,900,,2,85В капучіно,80В червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С55,Комплект реплика Victoria's Secret. Код: С55,Victoria's Secret,#8030,"жовтий, марсал",361,,,900,,2,75С жовтий,85В марсал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С60,"Нарядный комплект в чашке C, разные цвета. Код: С60",Weiyesi,#5967,чорний,133,,,480,,1,75С,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С63,"Гладкий комплект без косточек, разные цвета. Код: С63",Weiyesi,#2160,білий,211,,,650,,1,85В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С77,"Комплект Victoria's Secret чашка В, два цвета. Код: С77",Victoria's Secret,#325,червоний,385,,,1250,,1,80В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С84,Комплект нижнего белья чашка В. Код: С84,Weiyesi,#5423,чорний,182,,,480,,1,85В,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С91,Малиновый кружевной комплект белья. Код: С91,Cottonhill,#1826,малиновый,227,,,440,,3,S(75),M(80),L(85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С94,Комплект нижнего белья. Код: С94,Cottonhill,#1819,марсал,158,,,400,,2,L(85),XL(90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С96,Комплект нижнего белья. Код: С96,Cottonhill,#1805,марсал,142,,,380,,3,M(80),L(85),XL(90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С99,"Прозрачный боди с перьями, два цвета. Код: С99",Cottonhill,#CH1600,"чорний, червоний",187,,,420,,2,L(80) чорний,XL(85) червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
С100,Комплект цвета бордо чашка С. Код: С100,Weiyesi,#2091,бордо,158,,,450,,1,85С,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
